tweet_id,tweet,class
350499343540813824,@doctorcaldwell alendronate works in elderly. Intended benefits are relevant. Issues are compliance/tolerability and life expectancy> 1 yr,0
354293203786141698,{1} Alendronate is a bisphosphonate used to treat Oseoporosis and Paget's disease. How should the patient take it?pic.twitter.com/dGu1bARBhA,0
344228218259251200,Apixaban: factor xa inhibitor for stroke prevention in patients with nonvalvular atrial fibrillation.,0
351665598968766464,Giancarlo Agnelli just presented good résults of #Amplify study #Apixaban in treatment of PE and DVT #isth2013pic.twitter.com/pSWj9OEaKV,0
332531689639256064,"Does anybody take Baclofen? so, what dose? Just curious. I now take 50mg a day Can you RT please @PositiveAboutMS ?",0
332574327444746240,"@CaroleWhelan I find the baclofen worse, it has left me in a tired/sleepy fog all day - the codeine I can (mostly) deal with.",1
342052382705844224,I think baclofen might make me a bigger asshole than usual. :/,1
351027118215413761,"@neph0079@PositiveAboutMS I take baclofen ""can't sleep! want to sleep!"" help!",1
349205952320389120,@speeeeedbird Over your knee? Are you sure that's safe w/your osteoporosis & arthritis? Should have taken your once a month Boniva. #Kidding,0
348973695575937024,Canagliflozin demonstrates better glycemic control and body weight reduction versus sitagliptin in a 52 weeks clinical study #2013ADA,0
332496252136722432,A double shot of Africa with a Cipro chaser #stomachparty #ethiopiaspring2013,0
332546823447248896,"@CIPROisPOISON ironically, the pulmonologist I work with told me about his own devastating bout with 'tendonitis' after Cipro",1
332990941629657088,"@_cimmy_ thanks! yes, after I was prescribed Cipro a few years ago, and it REALLY messed me up, I am quite wary of broad spectrum ones.",0
333022901865431040,If you talk bad about Lebron I hope a thug shoots off your great toe and all the Vancomycin and Cipro in the world cant cure the infection.,0
333278830980648960,@IntegrateMD I sure wish my doctor had told me Cipro could disable me for life! There was never any mention of that. Now I'm crippled.,1
333320339683676161,@AbdulHabiba hope u are fine now. Just finished taking mine also last month. Cipro tab and d rest... So I dnt need them again.,0
333342169836449794,"@CIPROisPOISON @_cimmy_ I hope you are doing better now. Yes, a small dose of Cipro a few years ago did get me two or so years of problems.",0
333727742677905408,"@kevinmd Even w the best care a patient can die from Avandia, Vioxx, get kidney failure from Cipro or commit suicide on new antidepressants",0
334024264187523074,"@remiamaka It wasn't an easy victory though. Felt like chemo with the Cipro. As for the heart, i meant for study purposes.",1
340451551766274049,@evann_lfc yea still a vampire as still on cipro wbu? Xx,1
341115149723250688,"@ABittersweet1 Cipro destroyed my entire body, from head to toe. Bedridden since 2009. Be VERY careful.",1
341530146165104641,"This cipro is totally ""killing"" my tummy .. hiks..",1
341688886319271936,@katelynjoyy the aythromicyn didn't work so I'm back on cipro which is what caused my septic c diff in sept.,1
341873958007738369,"@Nichole_Lindsey I've had Cipro before. Luckily for me, the only side fx I tend to get from AB is gastic upset. But I RARELY use AB.",1
342303467618062337,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,0
342671450496446464,@iamhdt I need some Lysol. Maybe some Cipro.,0
342745776985874432,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,0
343037715899629568,"No! I always get Cipro before I travel but never had to use it, not even in Mexico! MT @johnnyjet: Ever call doctor on a trip? #TravelSkills",0
345241637078847489,@ShipMom Cipro is awful makes me sick as a dog too,1
346242584366161920,@LISABROWNPHOTOS Consider yourself lucky if all it does is make you dizzy and sick! Cipro crippled me and countless others.,1
346245541790892033,@QuiteColdNight @BuzzFeedAndrew USPS employees who were given Cipro ended up crippled by it & filed a class action lawsuit against Bayer.,0
346640892817465345,Forget diamonds...Cipro is a girl's best friend #tummytrouble #AhAfrica,0
348135763520667648,"“@joshuagates: TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers).",0
348867655698104322,"TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills",0
349202688950542336,@TheEastMovie Thank you so much for getting the message out...wish I could see the film but Bayer CRIPPLED ME with Cipro back in 2009!,1
349211366210539520,@dougbremner I wish I'd have found your article sooner! I was crippled by Cipro in Oct of '09. Prescribed for a UTI & it didn't even help.,1
349427091500040192,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,0
349785645192982528,@CIPROisPOISON You r Right Cipro nearly killed me,1
351126697472569344,@jkimberlinn Im on cypro . Actually in dying on cypro,1
352373166724751360,"@AidenHolder23 I am a sun-worshipper - doctor gave me Cipro - big warning about sun exposure - blah, blah, blah. Screw u I did it anyway!",0
352869424174342144,SO GLAD to have just finished a course of cipro! Fingers crossed I can stay off of nausea inducing meds for the next little while...,1
332480409654943744,The cymbalta certainly is addictive & its FDA approved...,1
332666314952945664,"@builtinbc oh I thought cymbalta was a pain med. sorry, that sucks.",0
332946951085645824,Only change so far since switching from Lexapro to Cymbalta: now I might notice if I got hit in the crotch w/ a lance in a jousting accident,1
